Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ps/call  ps/call  name    
 16.41     69.34    69.34                             ilup_setup (matriz.c:675 @ 244d)
 16.41    138.67    69.33                             ilup_setup (matriz.c:635 @ 2452)
 16.10    206.70    68.03                             ilup (matriz.c:773 @ 29db)
 12.41    259.12    52.41                             ilup (matriz.c:772 @ 29d5)
  3.96    275.83    16.72                             ilup (matriz.c:771 @ 29d0)
  3.69    291.44    15.61                             ilup (matriz.c:775 @ 29e2)
  3.28    305.30    13.86                             ilup_setup (matriz.c:637 @ 245f)
  2.60    316.27    10.97                             ilup (matriz.c:768 @ 29a9)
  2.38    326.31    10.04                             ilup_setup (matriz.c:635 @ 2417)
  2.33    336.16     9.85                             ilup_setup (matriz.c:633 @ 2409)
  2.20    345.46     9.30                             _matrix_add_node_fill_part (matriz.c:424 @ 1f2f)
  2.13    354.46     9.00                             ilup (matriz.c:781 @ 29b8)
  1.53    360.92     6.45                             ilup_setup (matriz.c:636 @ 246f)
  1.23    366.12     5.21                             _matrix_add_node_fill_part (matriz.c:410 @ 1f02)
  1.23    371.32     5.20                             _matrix_add_node_fill_part (matriz.c:412 @ 1f06)
  1.20    376.38     5.06                             ilup_setup (matriz.c:613 @ 23c8)
  1.11    381.09     4.71                             ilup (matriz.c:770 @ 29a2)
  0.95    385.08     4.00                             _matrix_add_node_fill_part (matriz.c:407 @ 1ef0)
  0.94    389.06     3.98                             _matrix_add_node_fill_part (matriz.c:409 @ 1eff)
  0.86    392.71     3.65                             ilup (matriz.c:768 @ 299a)
  0.77    395.95     3.23                             ilup_setup (matriz.c:648 @ 248d)
  0.56    398.30     2.35                             ilup (matriz.c:801 @ 29cc)
  0.32    399.67     1.37                             ilup (matriz.c:777 @ 29eb)
  0.30    400.93     1.25                             _matrix_add_node (matriz.c:368 @ 271f)
  0.30    402.18     1.25                             ilup (matriz.c:776 @ 29e7)
  0.28    403.35     1.17                             ilup (matriz.c:731 @ 2900)
  0.23    404.32     0.97                             matriz_add_value (matriz.c:217 @ 1a64)
  0.23    405.29     0.96                             _linked_list_destroy_lin (matriz.c:139 @ 1dd0)
  0.23    406.25     0.96                             _node_destroy (matriz.c:116 @ 1dd7)
  0.16    406.92     0.67                             _matrix_add_node (matriz.c:371 @ 2723)
  0.14    407.50     0.59                             _matrix_add_node (matriz.c:371 @ 271c)
  0.14    408.08     0.57                             _matrix_add_node_fill_part (matriz.c:420 @ 1f13)
  0.13    408.65     0.57                             _matrix_add_node (matriz.c:368 @ 2322)
  0.13    409.22     0.57                             _matrix_add_node (matriz.c:371 @ 2326)
  0.13    409.77     0.56                             _matrix_add_node_fill_part (matriz.c:418 @ 1f0f)
  0.13    410.31     0.53                             _matrix_add_node (matriz.c:365 @ 231a)
  0.13    410.83     0.53                             _matrix_add_node (matriz.c:367 @ 231e)
  0.12    411.36     0.53                             _matrix_add_node_fill_part (matriz.c:423 @ 1f24)
  0.12    411.88     0.52                             ilup_setup (matriz.c:672 @ 2440)
  0.10    412.31     0.43                             ilup (matriz.c:734 @ 290c)
  0.09    412.70     0.39                             ilup_setup (matriz.c:620 @ 23de)
  0.09    413.07     0.37                             ilup (matriz.c:729 @ 2910)
  0.09    413.44     0.36                             _node_construct (matriz.c:108 @ 27cb)
  0.09    413.80     0.36                             ilup_setup (matriz.c:652 @ 27cf)
  0.08    414.15     0.35                             _matrix_add_node_fill_part (matriz.c:445 @ 1f34)
  0.08    414.50     0.34                             ilup_setup (matriz.c:650 @ 2492)
  0.08    414.82     0.33                             ilup_setup (matriz.c:635 @ 2531)
  0.08    415.15     0.33                             ilup_setup (matriz.c:605 @ 2547)
  0.07    415.45     0.30                             ilup_setup (matriz.c:587 @ 234c)
  0.07    415.75     0.29                             ilup_setup (matriz.c:623 @ 23e3)
  0.07    416.03     0.28                             ilup_setup (matriz.c:647 @ 247b)
  0.06    416.27     0.24                             ilup (matriz.c:809 @ 2a35)
  0.06    416.51     0.24                             ilup_setup (matriz.c:656 @ 27d7)
  0.05    416.73     0.22                             ilup (matriz.c:765 @ 2a14)
  0.05    416.93     0.20                             ilup_setup (matriz.c:611 @ 23d5)
  0.05    417.12     0.20                             matriz_add_value (matriz.c:225 @ 1a72)
  0.04    417.31     0.19                             ilup_setup (matriz.c:626 @ 23ea)
  0.04    417.48     0.17                             _matrix_add_node_fill_part (matriz.c:405 @ 1ee9)
  0.04    417.65     0.17                             ilup_setup (matriz.c:607 @ 23a8)
  0.04    417.81     0.15                             _matrix_add_node (matriz.c:388 @ 2742)
  0.04    417.96     0.15                             _node_construct (matriz.c:103 @ 1a1f)
  0.04    418.12     0.15                             ilup_setup (matriz.c:662 @ 24e4)
  0.04    418.27     0.15                             ilup_setup (matriz.c:596 @ 2746)
  0.04    418.43     0.15                             matriz_add_value (matriz.c:207 @ 1a1a)
  0.03    418.57     0.14                             fread (stdio2.h:293 @ 1be6)
  0.03    418.71     0.14                             matriz_read_mtx (matriz.c:280 @ 1bfb)
  0.03    418.86     0.14                             _node_construct (matriz.c:103 @ 2778)
  0.03    418.98     0.12                             _init
  0.03    419.10     0.12                             ilup (matriz.c:742 @ 2930)
  0.03    419.21     0.12                             ilup_setup (matriz.c:680 @ 2570)
  0.03    419.33     0.12                             matriz_add_value (matriz.c:224 @ 1a77)
  0.02    419.44     0.10                             _matrix_add_node_fill_part (matriz.c:452 @ 1f3d)
  0.02    419.54     0.10                             ilup (matriz.c:745 @ 293c)
  0.02    419.63     0.10                             ilup_setup (matriz.c:622 @ 23e6)
  0.02    419.74     0.10                             ilup_setup (matriz.c:639 @ 246a)
  0.02    419.82     0.09                             ilup_setup (matriz.c:623 @ 23ee)
  0.02    419.90     0.08                             ilup_setup (matriz.c:625 @ 23fa)
  0.02    419.99     0.08                             matriz_add_value (matriz.c:220 @ 1a6e)
  0.02    420.06     0.07                             ilup_setup (matriz.c:681 @ 258d)
  0.01    420.12     0.06                             _matrix_add_node_fill_part (matriz.c:449 @ 1f39)
  0.01    420.18     0.06                             _node_construct (matriz.c:105 @ 26f9)
  0.01    420.24     0.06                             _node_construct (matriz.c:107 @ 27b9)
  0.01    420.30     0.06                             ilup (matriz.c:737 @ 2919)
  0.01    420.36     0.06                             ilup (matriz.c:740 @ 2940)
  0.01    420.42     0.06                             ilup (matriz.c:813 @ 2a24)
  0.01    420.47     0.06                             _matrix_add_node (matriz.c:390 @ 2367)
  0.01    420.52     0.06                             ilup (matriz.c:751 @ 2958)
  0.01    420.58     0.06                             ilup (matriz.c:754 @ 295b)
  0.01    420.63     0.05                             _matrix_add_node (matriz.c:365 @ 270d)
