Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ps/call  ps/call  name    
 17.12     38.65    38.65                             ilup_setup (matriz.c:635 @ 2452)
 17.09     77.24    38.59                             ilup_setup (matriz.c:675 @ 244d)
 14.45    109.86    32.62                             ilup (matriz.c:773 @ 29db)
 12.00    136.95    27.09                             _matrix_add_node_fill_part (matriz.c:424 @ 1f2f)
  9.02    157.31    20.36                             ilup (matriz.c:772 @ 29d5)
  5.43    169.56    12.26                             ilup (matriz.c:775 @ 29e2)
  5.32    181.57    12.01                             ilup (matriz.c:771 @ 29d0)
  4.03    190.66     9.09                             ilup_setup (matriz.c:613 @ 23c8)
  3.16    197.81     7.14                             ilup_setup (matriz.c:637 @ 245f)
  3.06    204.71     6.90                             ilup (matriz.c:781 @ 29b8)
  1.57    208.25     3.54                             ilup (matriz.c:801 @ 29cc)
  0.52    209.42     1.17                             ilup_setup (matriz.c:635 @ 2417)
  0.51    210.58     1.16                             ilup_setup (matriz.c:633 @ 2409)
  0.31    211.28     0.70                             ilup (matriz.c:768 @ 29a9)
  0.31    211.97     0.69                             _matrix_add_node_fill_part (matriz.c:410 @ 1f02)
  0.30    212.66     0.69                             _matrix_add_node_fill_part (matriz.c:412 @ 1f06)
  0.29    213.31     0.65                             _linked_list_destroy_lin (matriz.c:139 @ 1dd0)
  0.28    213.94     0.63                             _node_destroy (matriz.c:116 @ 1dd7)
  0.26    214.52     0.58                             _matrix_add_node_fill_part (matriz.c:423 @ 1f24)
  0.24    215.06     0.55                             ilup_setup (matriz.c:636 @ 246f)
  0.21    215.54     0.48                             ilup_setup (matriz.c:620 @ 23de)
  0.21    216.01     0.47                             ilup_setup (matriz.c:611 @ 23d5)
  0.19    216.46     0.44                             ilup (matriz.c:770 @ 29a2)
  0.17    216.84     0.38                             ilup_setup (matriz.c:648 @ 248d)
  0.17    217.21     0.38                             _matrix_add_node_fill_part (matriz.c:407 @ 1ef0)
  0.16    217.57     0.36                             ilup (matriz.c:731 @ 2900)
  0.15    217.91     0.34                             _matrix_add_node_fill_part (matriz.c:409 @ 1eff)
  0.14    218.22     0.31                             ilup (matriz.c:776 @ 29e7)
  0.14    218.53     0.31                             ilup (matriz.c:777 @ 29eb)
  0.13    218.83     0.30                             ilup (matriz.c:768 @ 299a)
  0.11    219.08     0.25                             ilup_setup (matriz.c:672 @ 2440)
  0.10    219.31     0.23                             ilup (matriz.c:765 @ 2a14)
  0.09    219.52     0.21                             ilup_setup (matriz.c:656 @ 27d7)
  0.09    219.72     0.20                             ilup (matriz.c:742 @ 2930)
  0.08    219.91     0.19                             _matrix_add_node (matriz.c:368 @ 271f)
  0.08    220.10     0.19                             _matrix_add_node_fill_part (matriz.c:445 @ 1f34)
  0.08    220.29     0.19                             ilup (matriz.c:734 @ 290c)
  0.08    220.48     0.19                             ilup_setup (matriz.c:607 @ 23a8)
  0.08    220.66     0.18                             fread (stdio2.h:293 @ 1be6)
  0.08    220.83     0.17                             ilup_setup (matriz.c:635 @ 2531)
  0.08    221.00     0.17                             ilup_setup (matriz.c:605 @ 2547)
  0.07    221.15     0.15                             _init
  0.07    221.30     0.15                             ilup_setup (matriz.c:647 @ 247b)
  0.06    221.44     0.14                             _matrix_add_node_fill_part (matriz.c:420 @ 1f13)
  0.06    221.58     0.14                             ilup (matriz.c:809 @ 2a35)
  0.06    221.71     0.12                             ilup (matriz.c:817 @ 2a55)
  0.05    221.82     0.12                             _matrix_add_node_fill_part (matriz.c:418 @ 1f0f)
  0.05    221.93     0.11                             _matrix_add_node (matriz.c:371 @ 2723)
  0.05    222.03     0.10                             ilup_setup (matriz.c:626 @ 23ea)
  0.04    222.13     0.10                             _matrix_add_node_fill_part (matriz.c:452 @ 1f3d)
  0.04    222.24     0.10                             ilup_setup (matriz.c:623 @ 23e3)
  0.04    222.32     0.09                             _matrix_add_node_fill_part (matriz.c:405 @ 1ee9)
  0.04    222.41     0.09                             ilup (matriz.c:758 @ 2970)
  0.04    222.50     0.09                             ilup_setup (matriz.c:639 @ 246a)
  0.04    222.59     0.09                             ilup_setup (matriz.c:680 @ 2570)
  0.04    222.68     0.09                             _matrix_add_node_fill_part (matriz.c:454 @ 1f41)
  0.04    222.76     0.08                             _matrix_add_node (matriz.c:371 @ 271c)
  0.04    222.84     0.08                             _matrix_add_node_fill_part (matriz.c:449 @ 1f39)
  0.03    222.91     0.07                             ilup (matriz.c:751 @ 2958)
  0.03    222.98     0.07                             ilup (matriz.c:754 @ 295b)
  0.03    223.05     0.07                             ilup (matriz.c:768 @ 2993)
