Matrizes,COO_matrix,CSC_matrix,CSR_matrix,LinkedList_matrix
Hamrle3.mtx,0.037007,0.038009,0.030004,0.262001
ASIC_680k.mtx,0.027508,0.026509,0.024004,0.372987
Geo_1438.mtx,0.167515,0.159004,0.116003,2.856371
rajat30.mtx,0.038503,0.038005,0.031506,0.666962
ASIC_680ks.mtx,0.020008,0.023507,0.022508,0.099512
StocF-1465.mtx,0.064491,0.079009,0.068001,0.631979
af_4_k101.mtx,0.047003,0.044003,0.032008,0.519477
Flan_1565.mtx,0.297504,0.271990,0.202993,6.625910
parabolic_fem.mtx,0.016007,0.013008,0.012007,0.120007
rajat29.mtx,0.031507,0.032006,0.026507,0.405980
Long_Coup_dt6.mtx,0.226496,0.222502,0.165498,3.573845
