Matrizes,COO_matrix,CSC_matrix,CSR_matrix,LinkedList_matrix
TSOPF_RS_b678_c1.mtx,0.022006,0.020006,0.017005,0.166487
CurlCurl_4.mtx,0.084508,0.087501,0.065008,0.543490
cant.mtx,0.010006,0.010506,0.007007,0.185511
offshore.mtx,0.014003,0.016505,0.014006,0.291507
pdb1HYS.mtx,0.011803,0.010005,0.008005,0.226001
cage14.mtx,0.153009,0.140005,0.107504,6.478426
FullChip.mtx,0.179005,0.185498,0.149007,3.137409
Fault_639.mtx,0.075002,0.075002,0.055994,1.229001
t3dh_a.mtx,0.011005,0.011503,0.008505,0.206009
F1.mtx,0.077507,0.069501,0.057996,2.517264
